OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY,GlobalID,LAT,LON
987,49535,49310,PARADIP,IN,20.266667,86.683333,173,63324,S,CB,G,Y,N,N,Y,Y,H,K,J,G,2,M, ,Y,Y,N,Y,Y,Y, ,Y, ,Y,Y, , ,Y,Y,Y, , ,Y,Y, ,Y, , ,Y,Y, ,N,Y,Y, , ,Y,Y,Y, , , , , , ,Y,Y, , , ,C, ,M,45ebf42c-707b-455e-8f31-054c64bf8171,20.2666666670331,86.6833333334666
988,49555,49310,HALDIA PORT,IN,22.016667,88.083333,173,63322/1,V,RN,F,N,N,N,Y, ,L,J,K,K,3,L,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, , , , ,N, ,Y,Y,Y,Y, , , ,Y, , ,N,Y,Y, , , ,Y,Y,Y, , , , ,Y,Y,Y,N, , ,C,M,S,7d1cd130-6f85-43d3-bf6e-5d555f91a107,22.0166666662337,88.0833333333667
989,49560,49310,CALCUTTA,IN,22.55,88.333333,173,63323,L,RN,G,Y,N,N,Y,Y,L,K,L,L,2,M,Y,Y,Y,Y,Y,Y,Y, ,Y,Y,Y,Y, , ,Y,Y,Y, ,Y,Y,Y,Y, , , ,Y, , ,N,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,Y,Y, ,Y,Y, ,Y,Y,B,M,L,c01f3790-934f-4871-a2f2-28105168fb77,22.5500000000001,88.3333333337664
990,49580,49570,MONGLA,BD,22.466667,89.6,173,63331,S,RN,F,Y,N,N,Y,N,N,M,N, ,3,M, , , , ,Y,Y,Y, ,Y, ,Y, ,Y,Y,Y,Y,Y,Y, ,Y,Y,Y, , , ,Y,Y, ,N,Y,Y, , , ,Y,Y,Y, , , , , ,Y,Y,N, , ,C, , ,15ff5f97-ca15-4507-9733-6019d06def7e,22.4666666662337,89.6000000000001
991,49590,49570,CHITTAGONG,BD,22.316667,91.816667,173,63337,M,RN,G,Y,Y,N,Y, ,N,L,L,L,3,M,Y,Y,Y,N,Y,Y,Y,Y,Y, ,Y, ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y, , ,Y,N, ,N, ,Y,Y,Y,Y,Y,Y, ,N,N,N,N,Y,Y,Y,Y, , ,C,M,S,343077be-93ee-49bb-88ad-c11b69b023f4,22.3166666665335,91.8166666670331
992,49620,49610,SITTWE,MM,20.133333,92.9,173,63352,S,OR,F,Y,Y,N,Y,N,N,N,N,L,2,M,Y, ,Y,N,Y,Y,Y, , , ,Y, , ,Y, , , , ,Y,Y,Y,Y, , , ,Y, , ,N,Y,Y, , , , ,Y,Y, , , , , ,Y, , , , ,C, , ,97f29b14-054e-40cd-b0c0-a6f55dec99dc,20.1333333333667,92.8999999997003
993,49640,49610,BASSEIN,MM,16.783333,94.733333,173,63412,S,RN,G,Y,N,N,Y,N,N,L,N, ,2,M, , , , ,Y,Y, , ,Y, ,N, , , , ,Y,Y, ,Y,Y,Y,Y, , , ,Y, , ,N,N,N,N,N,N,N,N,Y, , , , , ,Y,N,N, , ,C, ,S,c83897f1-6181-4e5e-a881-e8d93a8abec7,16.7833333337664,94.7333333335666
994,49650,49610,RANGOON,MM,16.766667,96.166667,173,63413,S,RN,G,Y,N,N,Y, , ,M,M,L,2,M, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , ,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,N,Y,Y, , , ,Y,Y,Y, , , , , ,Y, , ,Y,Y,C,S,M,ba18298e-4bb4-4087-80d7-d0ab4b29e4b9,16.7666666668333,96.1666666664336
997,49720,49710,PORT BLAIR,IN,11.683333,92.75,173,63383,S,CN,G,Y,Y,N,Y,Y,O,H,O,L,3,M,Y, ,Y, ,Y,Y,Y, ,Y, ,Y,Y, ,Y,Y, ,Y,Y,Y, ,Y,Y, , , ,Y,Y, ,N,Y,Y, , , ,Y,Y,Y, , , , ,N,Y,Y,Y, , ,N, , ,6d602ccb-32db-4c64-a5b0-1183a094d305,11.6833333331668,92.7500000000001
1057,49240,49210,COLOMBO,LK,6.95,79.85,173,63233,M,CB,F,N,Y,N,Y,N,H,A,G,C,1,M, ,Y,Y,Y,Y,Y,Y, ,Y, ,Y,Y,Y, ,Y,Y,Y, ,Y,Y,Y,Y, , , ,Y, , ,Y, ,Y,Y, ,Y,Y,Y,Y, , , , ,Y,Y,Y,Y,Y,Y,B,M,M,8cffbdbb-8edb-48fd-9987-06e99ebcecd4,6.94999999970025,79.8499999997003
1058,49250,49210,GALLE HARBOR,LK,6.016667,80.216667,173,63234/2,S,CB,G,N,Y,N,Y, ,K,A,L, ,1,M,Y, ,Y,N,Y,Y,Y, , , ,Y,Y,Y,Y,Y,Y,Y, , ,Y, ,Y, , , ,Y, , ,N,Y,Y, , , ,Y,Y, , , , , ,Y,Y,Y, , , ,C, ,S,35562ab5-e6b5-4ae3-b0be-eef8bf165ab2,6.01666666673332,80.2166666668332
